_id,comment
0,知道为啥吗？白天睡多了
1,"因为有了娃，睡眠不推迟反而都提前了，因为——他睡你也得赶紧睡，不睡后半夜等着受罪！<span class=""url-icon""><img alt=[偷笑] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_touxiao-0d995330b6.png"" style=""width:1em; height:1em;"" /></span>"
2,前几天不是说国人评论睡眠九小时吗
3,我一般12点入睡
4,几点睡不重要，睡多久才重要
5,一天睡眠不足六小时
6,新疆
7,我大枣庄竟然因为这个上了人民日报
8,就不问责企业责任人和监管人了嘛？
9,还好我没买
10,"买了枣粮先生瑟瑟发抖<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>"
11,我买了，但是不是枣庄的，我还要不要吃
12,"连吃东西都不安全了<span class=""url-icon""><img alt=[裂开] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[裂开] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[裂开] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png"" style=""width:1em; height:1em;"" /></span>"
13,"我还是老老实实吃红枣和巴旦木吧<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>"
14,真的要严控境外物品呀
15,民民的这篇报道，相当专业！各种溯源、各种数据分析👍
16,。。企业进口的原材料自己都不能保证有没有病毒，没责任？又不是外包装上有。，这个企业背景应该不小，现在所有报道都不提公司名称了，然后下面全是洗的。
17,还好我怕胖，没买……枣庄跟枣还真是有剪不断的联系，大家要多加注意⚠️
18,怎么进口奶粉没检测出来？
19,"认识新网红奶枣<span class=""url-icon""><img alt=[二哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[二哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[二哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png"" style=""width:1em; height:1em;"" /></span>"
20,昨天我们县某公众号发了说涉疫奶枣流入我们县，我妈妈听抓重点听着了有个枣字，吓得要把我外婆昨天买来的青枣扔了，我给她解释了几遍奶枣是啥，我们这是青枣，有问题那枣跟这根本挨不着边那是甜品。
21,这病毒成精了
22,"捏着手里的奶枣 好犹豫<span class=""url-icon""><img alt=[悲伤] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c95268c034.png"" style=""width:1em; height:1em;"" /></span>"
23,"现在吃东西也胆战心惊<span class=""url-icon""><img alt=[失望] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_shiwang-b4bf17068f.png"" style=""width:1em; height:1em;"" /></span>"
24,社区工作人员即使符合条件也忙着时刻待命，与春节回家无缘！
25,一会再来
26,"我没吃过<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>"
27,没事就好🙏
28,在天津港怎么就不检测，进口商品应该逐个检测才对
29,"<span class=""url-icon""><img alt=[跪了] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_guile-a8a737d3a0.png"" style=""width:1em; height:1em;"" /></span>希望大家都平安健康"
30,人员都没事就好
31,可怕的疫情
32,"今天山西的新闻好像也说了。奶枣通过线上销售流入山西。<span class=""url-icon""><img alt=[傻眼] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_shayan-4e8000eba9.png"" style=""width:1em; height:1em;"" /></span>"
33,没事就好啊，太吓人了...
34,好吃虽好吃，但是疫情当先
35,抗击疫情 人人有责。
36,"这病毒哪里都有<span class=""url-icon""><img alt=[费解] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_feijie-c1df37ef03.png"" style=""width:1em; height:1em;"" /></span>"
37,把进口食品先戒了
38,"枣庄最终还是因为“枣”上了人民日报<span class=""url-icon""><img alt=[挖鼻] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_wabishi-816c4e8890.png"" style=""width:1em; height:1em;"" /></span>"
39,从进口冷冻，樱桃，乳粉都测出，外国的企业检测制度和疫情防控有点不对劲。
40,关注奶枣
41,不让人省心的食品
42,山东大樱桃也好吃
43,这下大发了的
44,"<span class=""url-icon""><img alt=[熊猫] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_xiongmao-74969ad038.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[掌宝卖萌] src=""https://h5.sinaimg.cn/m/emoticon/icon/oasis/palmtreasure_04-9e8899c2bc.png"" style=""width:1em; height:1em;"" /></span>"
45,"明天去把枣粮先生的奶枣快递拿回来<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>"
46,严格点吧...没打疫苗的人瑟瑟发抖，一中一家老小都要遭殃，这玩笑开不得。
47,进口商品一定好好检测
48,希望大家都平安健康
49,快速处置，精准管控，平安快乐过新年！
50,没事就好 食品安全还是要重视 买了枣粮先生的奶枣 虽然已经声明无关了 但没吃完的家人也不想让我吃了 希望大家都健健康康的
51,我也买奶枣了，但不是这个企业的，没事吧？
52,严肃处理
53,希望疫情快点过去
54,"再测10次试试<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png"" style=""width:1em; height:1em;"" /></span>"
55,😨
56,就你这样，还问答博主。。。素质真低，滚回去再上几年学吧
57,通过这事，才知道还有奶枣这个东西
58,"没事就好<span class=""url-icon""><img alt=[心] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png"" style=""width:1em; height:1em;"" /></span>"
59,"还好，没吃过奶枣<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>"
60,"奶枣火了之后也没有吃过一次<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>"
61,进口商品一定好好检测！
62,啊
63,注意饮食
64,唉:-(
65,没事就好
66,加油
67,"还好我没有买<span class=""url-icon""><img alt=[喵喵] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_miao-c1b3d563bd.png"" style=""width:1em; height:1em;"" /></span>"
68,"雪花酥也有奶粉，市面上的有没有用到进口的<span class=""url-icon""><img alt=[裂开] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png"" style=""width:1em; height:1em;"" /></span>"
69,好险，差点买了一大包奶枣
70,原来枣庄真的产枣呀
71,啊
72,唉 啥时候能彻底过去哦 都不敢吃了
73,大家还是注意一下吧
74,一线人员辛苦了，希望疫情早点结束
75,幸好我吃不起
76,我
77,🙏
78,本来还想买的
79,成精了吗，怎么哪哪都有病毒🦠
80,可不能乱吃啦，太危险了
81,"<span class=""url-icon""><img alt=[羞嗒嗒] src=""https://h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiudada-e99552ddb3.png"" style=""width:1em; height:1em;"" /></span>"
82,儿子刚买的奶枣还没吃完😱
83,还好没买
84,妈耶，我之前买了好多奶枣，而且都吃光了
85,意思是买过涉疫奶枣的都会收到信息吗？
86,没买
87,进口商品一定好好检测
88,严惩监管人
89,可怕
90,没事就好
91,恭喜你已经达到岁一事无成的成就。
92,到底什么牌子嘛。。。枣粮先生还能吃么？？
93,我勒个去，枣这么厉害！！！
94,没事就好
95,那就好
96,平平安安
97,加油加油
98,没事就好
99,瑟瑟发抖，注意安全啊
100,没事就好。
101,那就好
102,"加强监管<span class=""url-icon""><img alt=[奥特曼] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_aoteman-7ddbc90d1c.png"" style=""width:1em; height:1em;"" /></span>"
103,平平安安
104,心疼这家企业。。。
105,严格筛查食品吧
106,"有没有知情人能和我说说，为啥现在没有汉波脆枣了。我最喜欢的零食<span class=""url-icon""><img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png"" style=""width:1em; height:1em;"" /></span>"
107,"<span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-f2bd11b506.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-f2bd11b506.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-f2bd11b506.png"" style=""width:1em; height:1em;"" /></span>我想起了二中高三集体被拉去做核酸检测<span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-f2bd11b506.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-f2bd11b506.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-f2bd11b506.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-f2bd11b506.png"" style=""width:1em; height:1em;"" /></span>"
108,我们枣庄只产煤不产枣
109,涉疫奶枣企业密接次密接均核酸阴性
110,转发微博
111,薛纪的有问题没
