_id,comment
0,"<a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2F-Bco4ZADDOn3J33mpZhtbQ"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">不比不知道，原来榜单金曲都是他们唱的！</span></a>"
1,他出现在这些盘点数据中最醒目的位置，就是我们打榜的目的之一
2,所以每首歌出来一定要有带tag的意识，这写数据资本都在后头默默观测着，直接关系到宝子未来的资源情况
3,"建议大家先直接看总结句 然后再返回开头认真看<span class=""url-icon""><img alt=[喵喵] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_miao-c1b3d563bd.png"" style=""width:1em; height:1em;"" /></span>"
4,周深OST在影视剧引流宣传方面，成效显著。并且，随着《悬崖之上》《国际歌》等OST，影视剧方对周深还可以格局再放大些。
5,但是我们的冠军歌曲不够，还是要加油
6,"头部OST歌手为剧集带动的流量肉眼可见，尤其是周深——根据猫眼统计，在网剧《千古玦尘》的社媒互动方面，周深的账户带动的近一周相关互动量最高；剧集相关热搜中<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%91%A8%E6%B7%B1%E5%8D%83%E5%8F%A4%E7%BB%9D%E5%B0%98%E4%B8%BB%E9%A2%98%E6%9B%B2%E7%8E%A6%E6%81%8B%23&extparam=%23%E5%91%A8%E6%B7%B1%E5%8D%83%E5%8F%A4%E7%BB%9D%E5%B0%98%E4%B8%BB%E9%A2%98%E6%9B%B2%E7%8E%A6%E6%81%8B%23"" data-hide=""""><span class=""surl-text"">#周深千古绝尘主题曲玦恋#</span></a>的讨论度超千万，总阅读量达5.6亿。"
7,"可惜玦玦子生不逢时，被分流了，否则可以更好<span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-f2bd11b506.png"" style=""width:1em; height:1em;"" /></span>"
8,"论打榜的重要性<span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span>"
9,怎么没见《悬崖之上》？
10,还是业内看得清，黑子再上蹿下跳也阻挡不了啾星的万丈光芒
11,周深最棒！
12,啊！我可真是个虚荣肤浅的女人啊啊啊啊啊啊啊！我就爱看这种的！
13,"希望今年周深能再创一波辉煌<span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span>"
14,要多打榜
