_id,comment
0,"我的Siri果然知道我穷 千方百计的救济我<span class=""url-icon""><img alt=[拜拜] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_baibai-8bfa9c2a4f.png"" style=""width:1em; height:1em;"" /></span>"
1,有钱人的快乐，大家都快乐哈哈哈
2,"确定这不是在撩妹<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>"
3,都挺好看的
4,为什么没人带口罩啊
5,亲亲我的siri
6,太棒了 omg
7,"多好一小伙子<span class=""url-icon""><img alt=[可爱] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_keai-9aae643ce8.png"" style=""width:1em; height:1em;"" /></span>缺基友吗"
8,可是美国的小费文化太可怕…
9,"我的siri选的是50<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png"" style=""width:1em; height:1em;"" /></span>"
10,"过分了<span class=""url-icon""><img alt=[哼] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_heng-3032fd08c2.png"" style=""width:1em; height:1em;"" /></span>"
11,虽然没人给我钱也忍不住想玩玩这样子
12,好多美女。
13,哈哈哈，也是有钱人的快乐。不过怎么说呢，帮到别人，尤其是让他人非常惊喜的面对你表达出她的开心时候自己也会感到非常开心，真的很开心。
14,"无恶意，我就想问这小哥是英国人吗...？没有嘴唇这个特质让我突然想到了荷兰弟抖森和本尼<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>"
15,"<span class=""url-icon""><img alt=[摊手] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-fa05d4eacf.png"" style=""width:1em; height:1em;"" /></span>"
16,这么多妹子就一个男的
17,"春节期间我给好多清洁工和门卫发了🧧<span class=""url-icon""><img alt=[哈哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-0ec05e6dad.png"" style=""width:1em; height:1em;"" /></span>"
18,新京报： 不准说我爸爸
19,"人家屁股一直很正啊，就是心向美国啊，不会真有人以为这是中国媒体吧<span class=""url-icon""><img alt=[笑哈哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiaohaha-56dbc288a5.png"" style=""width:1em; height:1em;"" /></span>"
20,"新京报：中国公民网络暴力美国。 群众：我们怎么暴力美国了？ 新京报：你们把佩洛西的话重复了一遍。<span class=""url-icon""><img alt=[二哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[二哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png"" style=""width:1em; height:1em;"" /></span>"
21,不出来装一下，怎么显出来人家是假洋鬼子啊
22,"新京报？<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png"" style=""width:1em; height:1em;"" /></span>"
23,可能是美国驻华大使馆切错号了
24,新京报，财经，是国家下一步需要整治的媒体。
25,这垃圾报纸，跟财新一样
26,新京报为细菌战洗白一事，我可没忘<a href='/n/新京报'>@新京报</a>
27,当美国指责中国的时候，你在哪？Where are you? Can't you see that? あなたはもうじんですか？“I can't breathe.”<a href='/n/新京报'>@新京报</a>
28,"众所周知，新京报是外屁股<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png"" style=""width:1em; height:1em;"" /></span>"
29,这个报纸存在的理由是什么？？？
30,这个媒体有个问题，喜欢报道中国负面新闻，正面只是偶尔报道而已，一个国有媒体，必须要查一下谁在控制此报，前社长已经被抓走，在美国也有资产。
31,"这屁股歪到姥姥家啦，当初人家怎么说咱们的<span class=""url-icon""><img alt=[吐] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_tu-cfbe704573.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[吐] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_tu-cfbe704573.png"" style=""width:1em; height:1em;"" /></span>"
32,记住这家圣母报了
33,"奖品名称：18.8元*10人；抽奖时间：2020-06-10 23:24:00；抽奖规则：<a  href=""https://lottery.media.weibo.com/lottery/h5/history/list?mid=4510766081176565"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">抽奖详情</span></a>"
34,现在页面可能出了点问题不能预付定金，跟客服备注可以退差价！
35,券：覆置这行话￥znx01IhnA7c￥转移至👉τáǒЬáǒ👈，【优惠券】
36,官方活动是现在预付定金立减20元，到手价158元，看到这条微博的朋友们可以在评论里再额外领取30元优惠券，可以叠加使用哦！付了定金才能使用优惠券！马上定金要截止了，冲冲冲～
37,呜呜呜腻腻最后一下笑得好甜我要被甜晕过去了！！（声音也好温柔）猫眼的那几个都好好看啊！布灵布灵的～而且送的那个猫咪贴纸也太可爱了！！！！是可以贴到指甲上的吗～
38,"我之前评论说错了！！是到手价128！！不是138啊啊啊<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>"
39,从*车专*里抽十位送18.8元奶茶红包，大家辛苦啦
